193.19.191.240#Троян Turla центр управления
196.45.118.14#Троян Turla центр управления
202.78.201.99#Троян Turla центр управления
207.226.44.167#Троян Turla центр управления
212.6.56.67#Троян Turla центр управления
212.6.56.82#Троян Turla центр управления
213.150.170.192#Троян Turla центр управления
62.12.39.117#Троян Turla центр управления
62.212.226.118#Троян Turla центр управления
62.68.73.57#Троян Turla центр управления
72.232.222.58#Троян Turla центр управления
80.248.65.183#Троян Turla центр управления
80.88.134.172#Троян Turla центр управления
82.113.19.72#Троян Turla центр управления
82.113.19.75#Троян Turla центр управления
82.211.156.190#Троян Turla центр управления
82.77.184.252#Троян Turla центр управления
85.195.129.196#Троян Turla центр управления
213.87.147.165#Сканер
85.236.24.122#Telebank_client
159.8.209.216#false
203.162.15.233#Сканер
188.212.100.81#Сканер
185.10.129.165#false
81.200.29.162#Telebank_client
172.22.0.12#false
151.236.11.10#хост из spacedartmail.com сильно на нас наседает
222.73.18.162#Сканер
192.163.239.60#fishing
194.58.90.182#www.bryaknut.ru botnet
178.208.129.87#Positive technology
178.208.129.88#Positive technology
178.208.129.89#Positive technology
178.208.129.90#Positive technology
178.208.129.91#Positive technology
178.208.129.92#Positive technology
178.208.129.93#Positive technology
178.208.129.94#Positive technology
31.13.62.98#Positive technology
31.44.88.171#Positive technology
31.44.88.172#Positive technology
31.44.88.173#Positive technology
31.44.88.174#Positive technology
31.44.88.175#Positive technology
31.44.88.176#Positive technology
31.44.88.177#Positive technology
31.44.88.178#Positive technology
31.44.88.179#Positive technology
31.44.88.180#Positive technology
31.44.93.2#Positive technology
31.44.93.25#Positive technology
31.44.93.55#Positive technology
31.44.93.56#Positive technology
31.44.93.57#Positive technology
77.108.111.178#Positive technology
77.108.111.179#Positive technology
77.108.111.180#Positive technology
77.108.111.182#Positive technology
77.108.111.183#Positive technology
77.108.111.184#Positive technology
77.108.111.185#Positive technology
77.108.111.186#Positive technology
77.108.111.187#Positive technology
77.108.111.188#Positive technology
77.108.111.189#Positive technology
79.174.68.24#Positive technology
95.140.90.114#Positive technology
95.140.90.116#Positive technology
185.25.50.30#trojan Win32/Corkow
85.25.146.157#trojan Win32/Corkow
94.126.178.17#trojan Win32/Corkow
31.31.204.87#trojan Win32/Corkow
216.38.198.78#trojan Win32/Corkow
5.61.37.25#trojan Win32/Corkow
69.195.129.70#trojan Win32/Corkow
185.53.177.20#trojan Win32/Corkow
46.165.228.153#trojan Win32/Corkow
46.108.39.70#trojan Win32/Corkow
172.16.105.182#trojan Win32/Corkow
93.170.104.68#trojan Win32/Corkow
